state,num,lit,id,opr,rcb,opm,ab_p,fc_p,pt_v,inicio,varinicio,varfim,escreva,leia,se,entao,fimse,repita,fimrepita,fim,inteiro,literal,real,$
0,E0,E0,E0,E0,E0,E0,E0,E0,E0,S2,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
1,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,Acc
2,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,S62,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
3,E0,E0,S23,E0,E0,E0,E0,E0,E0,E0,E0,E0,S17,S14,S41,E0,E0,S58,E0,S13,E0,E0,E0,E0
4,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,R2
5,E0,E0,S23,E0,E0,E0,E0,E0,E0,E0,E0,E0,S17,S14,S41,E0,E0,S58,E0,S13,E0,E0,E0,E0
6,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,R11
7,E0,E0,S23,E0,E0,E0,E0,E0,E0,E0,E0,E0,S17,S14,S41,E0,E0,S58,E0,S13,E0,E0,E0,E0
8,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,R17
9,E0,E0,S23,E0,E0,E0,E0,E0,E0,E0,E0,E0,S17,S14,S41,E0,E0,S58,E0,S13,E0,E0,E0,E0
10,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,R23
11,E0,E0,S23,E0,E0,E0,E0,E0,E0,E0,E0,E0,S17,S14,S41,E0,E0,S58,E0,S13,E0,E0,E0,E0
12,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,R31
13,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,R38
14,E0,E0,S15,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
15,E2,E2,E2,E2,E2,E2,E2,E2,S16,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2
16,E4,E4,R12,E4,E4,E4,E4,E4,E3,E4,E4,E4,R12,R12,R12,E4,R12,R12,R12,R12,E4,E4,E4,E4
17,S21,S20,S22,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
18,E2,E2,E2,E2,E2,E2,E2,E2,S19,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2
19,E4,E4,R13,E4,E4,E4,E4,E4,E3,E4,E4,E4,R13,R13,R13,E4,R13,R13,R13,R13,E4,E4,E4,E4
20,E2,E2,E2,E2,E2,E2,E2,E2,R14,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2
21,E2,E2,E2,E2,E2,E2,E2,E2,R15,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2
22,E2,E2,E2,E2,E2,E2,E2,E2,R16,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2
